 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.11744E+03   0.21122E+01   0.12332E+00   0.00000E+00
   0.11764E+03   0.21207E+01   0.12352E+00   0.00000E+00
   0.11783E+03   0.21292E+01   0.12372E+00   0.00000E+00
   0.11802E+03   0.21378E+01   0.12392E+00   0.00000E+00
   0.11822E+03   0.21464E+01   0.12412E+00   0.00000E+00
   0.11841E+03   0.21549E+01   0.12432E+00   0.00000E+00
   0.11860E+03   0.21636E+01   0.12452E+00   0.00000E+00
   0.11880E+03   0.21722E+01   0.12472E+00   0.00000E+00
   0.11899E+03   0.21809E+01   0.12492E+00   0.00000E+00
   0.11919E+03   0.21896E+01   0.12512E+00   0.00000E+00
   0.11938E+03   0.21983E+01   0.12532E+00   0.00000E+00
   0.11957E+03   0.22070E+01   0.12552E+00   0.00000E+00
   0.11977E+03   0.22158E+01   0.12572E+00   0.00000E+00
   0.11996E+03   0.22245E+01   0.12592E+00   0.00000E+00
   0.12016E+03   0.22333E+01   0.12612E+00   0.00000E+00
   0.12035E+03   0.22422E+01   0.12632E+00   0.00000E+00
   0.12055E+03   0.22510E+01   0.12652E+00   0.00000E+00
   0.12074E+03   0.22599E+01   0.12672E+00   0.00000E+00
   0.12093E+03   0.22688E+01   0.12692E+00   0.00000E+00
   0.12113E+03   0.22777E+01   0.12712E+00   0.00000E+00
   0.12132E+03   0.22866E+01   0.12732E+00   0.00000E+00
   0.12152E+03   0.22956E+01   0.12752E+00   0.00000E+00
   0.12171E+03   0.23046E+01   0.12772E+00   0.00000E+00
   0.12190E+03   0.23136E+01   0.12792E+00   0.00000E+00
   0.12210E+03   0.23226E+01   0.12812E+00   0.00000E+00
   0.12229E+03   0.23316E+01   0.12832E+00   0.00000E+00
   0.12249E+03   0.23407E+01   0.12852E+00   0.00000E+00
   0.12268E+03   0.23498E+01   0.12872E+00   0.00000E+00
   0.12288E+03   0.23590E+01   0.12892E+00   0.00000E+00
   0.12307E+03   0.23681E+01   0.12912E+00   0.00000E+00
   0.12326E+03   0.23773E+01   0.12932E+00   0.00000E+00
   0.12346E+03   0.23865E+01   0.12952E+00   0.00000E+00
   0.12365E+03   0.23957E+01   0.12972E+00   0.00000E+00
   0.12385E+03   0.24050E+01   0.12992E+00   0.00000E+00
   0.12404E+03   0.24142E+01   0.13012E+00   0.00000E+00
   0.12424E+03   0.24235E+01   0.13032E+00   0.00000E+00
   0.12443E+03   0.24329E+01   0.13052E+00   0.00000E+00
   0.12462E+03   0.24422E+01   0.13072E+00   0.00000E+00
   0.12482E+03   0.24516E+01   0.13092E+00   0.00000E+00
   0.12501E+03   0.24610E+01   0.13112E+00   0.00000E+00
   0.12521E+03   0.24704E+01   0.13132E+00   0.00000E+00
   0.12540E+03   0.24798E+01   0.13152E+00   0.00000E+00
   0.12560E+03   0.24893E+01   0.13172E+00   0.00000E+00
   0.12579E+03   0.24988E+01   0.13192E+00   0.00000E+00
   0.12599E+03   0.25083E+01   0.13212E+00   0.00000E+00
